,ticker,date,title,provider,neg,neu,pos,compound
115,TSLA,2014-07-21,Danger Zone  Non GAAP Earnings,David Trainer,0.459,0.541,0.0,-0.5267
116,TSLA,2014-07-24,Are We About To Witness A Soar In Lithium Consumption   ,Jeb Handwerger,0.0,1.0,0.0,0.0
117,TSLA,2014-07-27,Is the Q2 Earnings Improvement Sustainable ,Zacks Investment Research,0.0,0.625,0.375,0.4588
118,TSLA,2014-07-28,Could Reno  Nevada  Win Tesla s Gigafactory Bid ,International Business Times,0.0,0.612,0.388,0.5859
119,TSLA,2014-07-30,EU Electric Car Sales Doubled In 2013,International Business Times,0.0,1.0,0.0,0.0
120,TSLA,2014-07-30,Know This Before Tesla s Thursday Earnings,Estimize,0.0,1.0,0.0,0.0
121,TSLA,2014-07-31,Is Tesla Likely To Disappoint Q2 Earning Estimates ,Zacks Investment Research,0.278,0.722,0.0,-0.4019
122,TSLA,2014-07-31,A Tech IPO That Is Ready To Pop ,Marty Biancuzzo,0.0,0.706,0.294,0.3612
123,TSLA,2014-08-04,Model S Dissed  Then Dusted By A Lambo,International Business Times,0.0,1.0,0.0,0.0
124,TSLA,2014-08-06,Tesla Model X Will Make The Tesla Model S Look Like Chopped Liver  Morgan Stanley Analyst Says,International Business Times,0.0,0.848,0.152,0.3612
125,TSLA,2014-08-11,Managing Expectations  Part I of III ,Frank Holmes,0.0,1.0,0.0,0.0
126,TSLA,2014-08-11,Tesla Hits Double Top   300 In Sight,Gareth Soloway,0.0,0.769,0.231,0.2023
127,TSLA,2014-08-11,How Tesla Can Drop The Price Of Its Cars,International Business Times,0.208,0.792,0.0,-0.2732
128,TSLA,2014-08-11,Consumer Reports  Tesla Model S has  more than its share of problems ,Reuters,0.191,0.635,0.174,-0.0609
129,TSLA,2014-08-12,The 5 Biggest Problems With The Tesla Model S ,International Business Times,0.31,0.69,0.0,-0.4019
130,TSLA,2014-08-14,Tesla Is Selling 436 Cars A Month In Norway,International Business Times,0.0,1.0,0.0,0.0
131,TSLA,2014-08-15,Tesla boosts model S Sedan s warranty coverage after criticism,Reuters,0.259,0.536,0.205,-0.1531
132,TSLA,2014-08-15,Lithium And Graphite Sector Is Jumpstarting With Investor Interest  ,Jeb Handwerger,0.0,0.727,0.273,0.4588
133,TSLA,2014-08-19,Three Top Ranked Auto Industry Stocks To Buy Now,Zacks Investment Research,0.0,0.816,0.184,0.2023
134,TSLA,2014-08-20,Why Tesla Stock Will Double In The Next 12 Months,Keith Fitz-Gerald,0.0,1.0,0.0,0.0
135,TSLA,2014-08-24,Deepening rivalries test German luxury car dominance,Reuters,0.0,0.769,0.231,0.2023
136,TSLA,2014-08-26,Six Observations From A Tesla Factory Tour,International Business Times,0.0,1.0,0.0,0.0
137,TSLA,2014-08-26,China To Give  16 Billion For Electric Vehicle Chargers,International Business Times,0.0,1.0,0.0,0.0
138,TSLA,2014-08-29,Tesla Inks Deal With China Mobile Phone Company,International Business Times,0.0,1.0,0.0,0.0
139,TSLA,2014-08-31,There Are Still A Few Stocks With Promising Patterns,Tim Knight,0.0,0.722,0.278,0.4019
140,TSLA,2014-09-02,Tesla Stock Hits All Time High,International Business Times,0.0,1.0,0.0,0.0
141,TSLA,2014-09-02,Wall Street ends mixed  energy shares fall,Reuters,0.0,0.538,0.462,0.5106
142,TSLA,2014-09-03,T2108 Update  Excitement Under The Calm,Dr. Duru,0.0,0.421,0.579,0.6705
143,TSLA,2014-09-03,Tesla settles on Nevada for battery factory  source,Reuters,0.0,1.0,0.0,0.0
144,TSLA,2014-09-05,Nevada Hasn t Explained Its Gigafactory Math,International Business Times,0.0,1.0,0.0,0.0
145,TSLA,2014-09-09,Precedents Of Tesla s  1 25B Incentive Package Raise Questions,International Business Times,0.0,0.737,0.263,0.3612
146,TSLA,2014-09-10,Nevada lawmakers to consider huge tax breaks for Tesla ,Reuters,0.0,0.777,0.223,0.3182
147,TSLA,2014-09-10,Nevada Reveals More Details On Tesla s Huge Tax Incentive Deal,International Business Times,0.0,0.625,0.375,0.5859
148,TSLA,2014-09-11,Nissan Leaf Goes To China,International Business Times,0.0,1.0,0.0,0.0
149,TSLA,2014-09-15,Bears Have A Feast In Nasdaq As Market Awaits Key Fed Statement,Investing.com,0.0,0.885,0.115,0.0772
150,TSLA,2014-09-15,Bullish Setups In A Sketchy Market,Ryan Mallory,0.0,1.0,0.0,0.0
151,TSLA,2014-09-15,Exclusive  Nissan faces battery plant cuts as electric car hopes fade,Reuters,0.152,0.552,0.297,0.2732
152,TSLA,2014-09-15,Tesla prevails in top Massachusetts court over direct sales,Reuters,0.0,0.816,0.184,0.2023
153,TSLA,2014-09-16,Tesla Begins To Irk,Tim Knight,0.0,1.0,0.0,0.0
154,TSLA,2014-09-16,Tesla Share Price  A Bumpy Ride On Lack Of Consensus,International Business Times,0.2,0.609,0.191,-0.0258
155,TSLA,2014-09-17,Tesla  Buying Opportunity Or Bubble Stock ,Charles Sizemore,0.0,0.641,0.359,0.4215
156,TSLA,2014-09-17,Tesla Fans Beware  Sobering Report Ahead,International Business Times,0.265,0.735,0.0,-0.2023
157,TSLA,2014-09-18,Exclusive  China s Wanxiang to relaunch Fisker Karma car with 2012 design   sources,Reuters,0.0,0.88,0.12,0.128
158,TSLA,2014-09-22,Tesla s Delays Are Catching Up With It,Tim Knight,0.0,1.0,0.0,0.0
159,TSLA,2014-09-23,Tesla Might Need Another  6 Billion To  Disrupt  The Industry  Says Top Analyst,International Business Times,0.0,0.859,0.141,0.2023
160,TSLA,2014-09-29,September Was Elon Musk s Best Month Ever,Robert Williams,0.0,0.588,0.412,0.6369
161,TSLA,2014-10-02,Hedge funds cut long exposure in September  Credit Suisse,Reuters,0.179,0.598,0.222,0.128
162,TSLA,2014-10-02,Tesla factory near Reno is bet old Nevada will meet the new ,Reuters,0.0,1.0,0.0,0.0
163,TSLA,2014-10-02,Tesla s Musk says  about time to unveil the D and something else ,Reuters,0.0,1.0,0.0,0.0
164,TSLA,2014-10-03,Tesla Gigafactory  Panasonic Establishes US Company,International Business Times,0.0,1.0,0.0,0.0
165,TSLA,2014-10-05,The Plan Ahead  Russell 2000 Now Most Important Market Tell ,High Chart Patterns,0.0,0.811,0.189,0.2716
166,TSLA,2014-10-06,Panasonic says initial investment in Tesla battery factory will be  tens of billions  of yen,Reuters,0.0,1.0,0.0,0.0
167,TSLA,2014-10-07,Will Tesla Unveil Automated Driving Features  New Car ,Zacks Investment Research,0.0,1.0,0.0,0.0
168,TSLA,2014-10-12,Swing Trading Watch List  YELP  LVS  KEY  TSLA  WYNN,Ryan Mallory,0.0,1.0,0.0,0.0
169,TSLA,2014-10-15,U S  stocks slide allows short sellers to smile again,Reuters,0.0,0.737,0.263,0.3612
170,TSLA,2014-10-21,Michigan becomes fifth U S  state to thwart direct Tesla car sales,Reuters,0.0,1.0,0.0,0.0
171,TSLA,2014-10-28,Facebook  Gilead  Electronic Arts And InvenSense Disappoint,Michael Filighera,0.31,0.69,0.0,-0.4019
172,TSLA,2014-10-30,The Tao Of Investing In the Renewable Energy Market  Practice Patience,The Energy Report,0.0,0.826,0.174,0.2732
173,TSLA,2014-11-05,Dow  S P 500 close at records after midterm vote,Reuters,0.0,1.0,0.0,0.0
174,TSLA,2014-11-05,Key Change In Tesla Expectations,Estimize,0.0,1.0,0.0,0.0
175,TSLA,2014-11-06,Nvidia quarterly revenue tops Wall Street expectations,Reuters,0.0,0.645,0.355,0.5106
176,TSLA,2014-11-14,Growth Stock Showdown  Alibaba  BABA  vs  Tesla  TSLA ,Zacks Investment Research,0.0,0.729,0.271,0.3818
177,TSLA,2014-11-14,Bitauto Stock Is Up 148  This Year  Here s Why You Should Pay Attention ,Estimize,0.104,0.896,0.0,-0.1027
178,TSLA,2014-11-17,Explore and Discover the Winners When Gas Prices Fall,Frank Holmes,0.0,0.721,0.279,0.4767
179,TSLA,2014-11-28,BMW not interested in buying stake in Tesla   Wirtschaftswoche,Reuters,0.22,0.78,0.0,-0.3089
180,TSLA,2014-12-02,The Trouble With Tesla,Tim Knight,0.474,0.526,0.0,-0.4019
181,TSLA,2014-12-06,Jobs Explode    Financial s Do As Well     Market Grinding  ,Jack Steiman,0.0,0.769,0.231,0.2732
182,TSLA,2014-12-11,Tesla Starts Delivery in Australia  Opens Store   Supercharger,Zacks Investment Research,0.0,1.0,0.0,0.0
183,TSLA,2014-12-15,Volvo to launch online car sales in marketing shift,Reuters,0.0,1.0,0.0,0.0
184,TSLA,2014-12-18,Play The Hot LendingClub IPO With These 3 ETFs,Zacks Investment Research,0.0,0.745,0.255,0.34
185,TSLA,2014-12-21,As Ford closes  European rust belt seeks new ideas,Reuters,0.0,1.0,0.0,0.0
186,TSLA,2014-12-26,Tesla s new Roadster to cover two thirds more miles per charge,Reuters,0.0,1.0,0.0,0.0
187,TSLA,2014-12-26,Volkswagen s Audi aims to launch two electric vehicles by 2018  CEO,Reuters,0.0,1.0,0.0,0.0
188,TSLA,2014-12-27,VW s Audi to step up investments in 2015 19 on models  plants,Reuters,0.0,1.0,0.0,0.0
189,TSLA,2014-12-28,Technology in 2014  IPOs Galore  And Many Are Chinese ,Zacks Investment Research,0.0,1.0,0.0,0.0
190,TSLA,2014-12-30,Aussie Toe Cutters Proactive To Reduce Cost Structure,The Gold Report,0.0,0.714,0.286,0.4215
191,TSLA,2015-01-02,Economic Trends Might Lead To Higher Equity Prices,Todd Sullivan,0.0,1.0,0.0,0.0
192,TSLA,2015-01-06,Tesla  A Bearish Outlook ,Tim Knight,0.0,1.0,0.0,0.0
193,TSLA,2015-01-10,General Motors plans fresh move into electric car market  report,Reuters,0.0,0.796,0.204,0.3182
194,TSLA,2015-01-12,Still Not Totally Bearish   Not Good Either   ,Jack Steiman,0.308,0.692,0.0,-0.3959
195,TSLA,2015-01-13,Biggest Casualty Of Crude Oil Price Collapse  ,AllAboutAlpha,0.72,0.28,0.0,-0.8834
196,TSLA,2015-01-13,Detroit s blue skies clouded by worries about fuel economy,Reuters,0.364,0.636,0.0,-0.4588
197,TSLA,2015-01-13,Tesla CEO says China sales weak  promises Model X by third quarter,Reuters,0.2,0.621,0.179,-0.0772
198,TSLA,2015-01-14,Telsa Stock Drops  18 Overnight,International Business Times,0.0,1.0,0.0,0.0
199,TSLA,2015-01-14,2 Auto Companies Challenging Elon Musk Now,Zacks Investment Research,0.0,0.758,0.242,0.1531
200,TSLA,2015-01-14,Tesla Stock Price Drops 6 ,International Business Times,0.0,1.0,0.0,0.0
201,TSLA,2015-01-14,Google partners with auto suppliers on self driving car,Reuters,0.0,1.0,0.0,0.0
202,TSLA,2015-01-22,BMW  Volkswagen join with ChargePoint to build EV fast charging stations,Reuters,0.0,0.82,0.18,0.296
203,TSLA,2015-01-26,Correction Or Crash  Our Verdict On Tesla,Wall Street Daily,0.29,0.538,0.172,-0.2732
204,TSLA,2015-02-10,Exclusive  Tesla CEO threatens firings after dismal China sales   sources,Reuters,0.437,0.464,0.099,-0.7269
205,TSLA,2015-02-11,Tesla reports fourth quarter loss  misses sales targets,Reuters,0.412,0.588,0.0,-0.4939
206,TSLA,2015-02-11,Tesla CEO Threatens Firings After Dismal China Sales  Report,International Business Times,0.485,0.515,0.0,-0.765
207,TSLA,2015-02-12,GM confirms compact electric car to be made at Michigan plant,Reuters,0.0,1.0,0.0,0.0
208,TSLA,2015-02-12,Post Earnings I m Continuing To Short Tesla,Tim Knight,0.0,1.0,0.0,0.0
209,TSLA,2015-02-12,Wall St  ends sharply higher on tech  Ukraine deal,Reuters,0.0,1.0,0.0,0.0
210,TSLA,2015-02-12,Tesla To Unveil New Battery To Power Homes  Elon Musk,International Business Times,0.0,1.0,0.0,0.0
211,TSLA,2015-02-13,Tesla Is Technically Challenged ,Mike Paulenoff,0.318,0.682,0.0,-0.1027
212,TSLA,2015-02-15,Why Tesla Should Worry About A Stronger Dollar,Rayman Partners,0.276,0.476,0.248,-0.0772
213,TSLA,2015-02-22,Exclusive  China s Wanxiang to rebrand Fisker as Elux   sources,Reuters,0.0,0.842,0.158,0.128
214,TSLA,2015-02-24,Rare Earth Minerals  Go To Lithium And Rare Earths Investment Company ,Edison,0.0,1.0,0.0,0.0
215,TSLA,2015-02-26,Google invests  300 million in U S  residential solar projects,Reuters,0.0,1.0,0.0,0.0
216,TSLA,2015-03-06,Tesla says Nevada battery plant on track despite report of delay,Reuters,0.0,0.836,0.164,0.2411
217,TSLA,2015-03-09,Analysts Remain Bullish on Tesla Despite Layoffs in China,Sarah Roden,0.0,1.0,0.0,0.0
218,TSLA,2015-03-09,Tesla shedding jobs in China as sales target missed,Reuters,0.216,0.784,0.0,-0.296
219,TSLA,2015-03-13,Tesla reassigns global sales chief  Bloomberg,Reuters,0.0,1.0,0.0,0.0
220,TSLA,2015-03-13, Formula E  electric car race creates a quiet buzz in Miami,Reuters,0.0,0.792,0.208,0.2732
221,TSLA,2015-03-13,Exclusive  Uber in deal with China s BYD to test electric cars,Reuters,0.0,0.87,0.13,0.128
222,TSLA,2015-03-13,China s BYD takes aim at Tesla in battery factory race,Reuters,0.0,1.0,0.0,0.0
223,TSLA,2015-03-15,Tesla to reveal software update for Model S range on Thursday,Reuters,0.0,1.0,0.0,0.0
224,TSLA,2015-03-17,The Solar Energy Sector Is Taking Flight,International Business Times,0.0,0.741,0.259,0.2732
225,TSLA,2015-03-19,Tesla to offer hands free steering on Model S in three months,Reuters,0.0,0.752,0.248,0.5106
226,TSLA,2015-03-24,Automakers race to double the driving range of affordable electric cars,Reuters,0.0,1.0,0.0,0.0
227,TSLA,2015-03-30,Tesla CEO Musk s upbeat tweets about China boost stock,Reuters,0.0,0.748,0.252,0.4019
228,TSLA,2015-04-03,Tesla says delivered record 10 030 cars in first quarter,Reuters,0.0,1.0,0.0,0.0
