ticker,date,title,provider,neg,neu,pos,compound
IBM,2009-07-16,GLOBAL MARKETS Rally stalls as caution builds ahead of results,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-17,FTSE up 0 7 pct early  set for best week since Jan,Reuters,0.0,0.682,0.318,0.6369
IBM,2009-07-17,FOREX Dollar  yen firmer  await U S  bank earnings,Reuters,0.0,0.811,0.189,0.1027
IBM,2009-07-17,Bullish European Markets Near Crucial Price Points,LFB Forex,0.0,1.0,0.0,0.0
IBM,2009-07-17,US STOCKS SNAPSHOT Dow  Nasdaq end up  but S P dips,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-20,GLOBAL MARKETS World equities rally on earnings  CIT news,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-20,GLOBAL MARKETS World stocks rally on earnings  CIT news,Reuters,0.0,1.0,0.0,0.0
IBM,2009-08-03,ANALYSIS EU affirms tough antitrust stand with Microsoft case,Reuters,0.158,0.842,0.0,-0.128
IBM,2009-09-01,Reuters Summit Lenovo eyes Shanghai listing  profit by March,Reuters,0.0,0.734,0.266,0.4404
IBM,2009-09-01,Reuters Summit UPDATE 1 Lenovo eyes Shanghai listing  upturn,Reuters,0.0,1.0,0.0,0.0
IBM,2009-09-02,US STOCKS Wall St inches up following data  recent declines,Reuters,0.0,1.0,0.0,0.0
IBM,2009-09-02,IBM executive to replace Euronext s deputy report,Reuters,0.0,1.0,0.0,0.0
IBM,2009-09-03,EU opens in depth probe into Oracle  Sun deal,Reuters,0.0,1.0,0.0,0.0
IBM,2009-09-03,UPDATE 1 EU opens in depth probe into Oracle  Sun deal,Reuters,0.0,1.0,0.0,0.0
IBM,2009-09-09,Global Wrap  S P 500 At An 11 Month High ,LFB Forex,0.0,1.0,0.0,0.0
IBM,2009-09-23,US STOCKS Wall St advances on Fed s optimistic view,Reuters,0.0,0.777,0.223,0.3182
IBM,2009-09-23,Finnish mobile software firm Flander buys China s Symbio,Reuters,0.0,1.0,0.0,0.0
IBM,2009-09-30,RPT US STOCKS Wall St falls on PMI  but higher for quarter,Reuters,0.0,1.0,0.0,0.0
IBM,2009-10-13,FOREX Dollar back on defensive  Aussie hits 14 mth high,Reuters,0.0,0.891,0.109,0.0258
IBM,2009-10-13,FOREX Dollar falls broadly  euro  commods FX surge,Reuters,0.0,1.0,0.0,0.0
IBM,2009-10-13,FOREX Dollar falls  euro above  1 48 as gold at new high,Reuters,0.0,1.0,0.0,0.0
IBM,2009-10-13,FOREX Dollar hits 14 month low vs currency basket,Reuters,0.208,0.792,0.0,-0.2732
IBM,2009-10-13,FOREX Dollar falls to 14 month low vs currency basket,Reuters,0.189,0.811,0.0,-0.2732
IBM,2009-10-15,FOREX Yen extends broad slide  pound bounces,Reuters,0.0,0.8,0.2,0.128
IBM,2009-10-16,Bookies see European stocks extending gains,Reuters,0.0,0.676,0.324,0.34
IBM,2009-10-19,ANALYSIS Indian outsourcers shy of blockbuster MA,Reuters,0.183,0.459,0.358,0.4404
IBM,2009-10-28,US STOCKS Futures fall  durable goods  home sales on tap,Reuters,0.0,1.0,0.0,0.0
IBM,2009-10-28,FACTBOX IT services companies in crosshairs of MA,Reuters,0.0,1.0,0.0,0.0
IBM,2009-10-28,US STOCKS Futures fall after weak overseas results  data ahead,Reuters,0.244,0.756,0.0,-0.4404
IBM,2009-10-30,Taiwan s Acer posts Q3 profit  in line with mkt estimates,Reuters,0.0,0.756,0.244,0.4404
IBM,2010-07-20,U S  stocks fall on earning reports  Dow Jones down 1 23 ,Investing.com,0.0,1.0,0.0,0.0
IBM,2010-07-20,Europe stocks decline amid negative sentiment  DAX sheds 1 18 ,Investing.com,0.316,0.684,0.0,-0.5719
IBM,2011-04-15,UPDATE 5 Infosys results spell trouble for sector  shares plunge 10 pct,Reuters,0.194,0.647,0.158,-0.128
IBM,2011-04-15,CORRECTED UPDATE 1 Infosys sees 18 20 pct rise in FY sales  shares fall 7 pct,Reuters,0.0,0.855,0.145,0.296
IBM,2011-04-15,UPDATE 1 Infosys sees 18 20 pct rise in FY sales  shares fall 7 pct,Reuters,0.0,0.845,0.155,0.296
IBM,2011-04-27,UPDATE 2 India s Wipro outsourcing outlook disappoints  shares fall,Reuters,0.241,0.556,0.204,-0.1027
IBM,2011-05-01,INTERVIEW UPDATE 1 India s Infosys eyes buys in Europe  Japan,Reuters,0.0,1.0,0.0,0.0
IBM,2011-07-18,U S  stock futures lower as debt fears weigh  Dow sheds 0 7 ,Investing.com,0.556,0.444,0.0,-0.7579
IBM,2011-07-19,GLOBAL MARKETS Stocks recover  euro up after safety flight,Reuters,0.0,0.741,0.259,0.4215
IBM,2011-07-19,European share bounce led by beaten down banks,Reuters,0.255,0.545,0.2,-0.1531
IBM,2011-07-19,GLOBAL MARKETS Stocks  euro rebound  gold off record high,Reuters,0.0,1.0,0.0,0.0
IBM,2011-07-19,GLOBAL MARKETS Stocks  euro recover  gold below record high,Reuters,0.0,1.0,0.0,0.0
IBM,2011-07-19,GLOBAL MARKETS Stocks  euro rise ahead of key meeting on Greece,Reuters,0.0,1.0,0.0,0.0
IBM,2011-08-22,US STOCKS Wall St edges higher  searches for catalyst,Reuters,0.0,1.0,0.0,0.0
IBM,2011-09-01,US STOCKS Futures dip ahead of jobs  manufacturing data,Reuters,0.0,1.0,0.0,0.0
IBM,2011-10-17,RPT US STOCKS Futures dip after German finmin comments,Reuters,0.0,1.0,0.0,0.0
IBM,2011-10-23,Quality of Earnings  Chapter 6,Saj Karsan,0.0,1.0,0.0,0.0
IBM,2011-11-14,Warren Buffett tells the world he has purchased 64 million shares of IBM since March,FXDD,0.0,0.864,0.136,0.296
IBM,2011-12-05,Week in Review Part I  Europe  Washington and Wall Street,Brian Trumbore,0.0,1.0,0.0,0.0
IBM,2011-12-07,Throwing Good Money After Bad,Peter T. Treadway,0.372,0.319,0.309,-0.1531
IBM,2011-12-27,Tips for 2012,Helix Investment Management,0.0,1.0,0.0,0.0
IBM,2012-01-07,3 Large Cap Tech Dividend Stocks With Double Dividends,Double Dividend Stocks,0.0,1.0,0.0,0.0
IBM,2012-01-11,Bad News Is Good News ,Richard Rhodes,0.372,0.319,0.309,-0.1531
IBM,2012-01-12,Rush Toward Safety ,Richard Rhodes,0.0,0.417,0.583,0.4215
IBM,2012-01-16,World Markets Mixed Again ,Richard Rhodes,0.0,1.0,0.0,0.0
IBM,2012-01-16,The Week Ahead   Rising Signs of Worry Amid the Complacency,Saxo Bank,0.244,0.756,0.0,-0.4404
IBM,2012-02-04,Daily Analysis   Asia Rallies  Western Markets end Mixed,Binary Options Strategy,0.0,1.0,0.0,0.0
IBM,2012-02-06,The Financial Crisis Of 2008 Was Just A Warm Up Act For The Economic Horror Show That Is Coming,Michael T. Snyder,0.316,0.607,0.077,-0.7845
IBM,2012-02-07,FX Futures Edge   Tuesday  February 7  2012 ,Richard Rhodes,0.0,1.0,0.0,0.0
IBM,2012-02-08,FX Futures Edge   Wednesday  February 8  2012 ,Richard Rhodes,0.0,1.0,0.0,0.0
IBM,2012-02-17,Musings on Diversification  Value Investing and the  400  Man ,David Merkel,0.0,0.769,0.231,0.34
IBM,2012-02-24,IBM Leads As Investors Hope For Apple Dividend ,Nicholas Santiago,0.0,0.707,0.293,0.4404
IBM,2012-03-29,Buy This Safe Stock    And Double Your Money In Five Years,StreetAuthority,0.0,0.775,0.225,0.4404
IBM,2012-03-30,Three Day Losing Streak  Unheard Of    ,Nicholas Santiago,0.342,0.658,0.0,-0.3818
IBM,2012-04-05,Markets Flush As Prediction Nailed 100 ,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2012-04-11,S P 500 Depository  SPY    Risk Premium for Earnings Season Is    Down ,Ophir Gottlieb,0.189,0.811,0.0,-0.2732
IBM,2012-04-12,3 High Yield Stocks That Could Easily Boost Dividends,StreetAuthority,0.0,0.541,0.459,0.6249
IBM,2012-04-17,U S  futures higher  eyes on data  Dow Jones up 0 42 ,Investing.com,0.0,1.0,0.0,0.0
IBM,2012-04-17,Trying To Form A Bottom,ETF Prophet,0.0,1.0,0.0,0.0
IBM,2012-04-17,Asia stocks slump on global growth concerns  Nikkei dips 0 1 ,Investing.com,0.0,0.755,0.245,0.3818
IBM,2012-04-18,IBM Stock  2 5  Fall in After hours Trading Session,Jim Makos,0.0,1.0,0.0,0.0
IBM,2012-04-18,IBM Stock  2 5  Fall In After Hours Trading,Jim Makos,0.0,1.0,0.0,0.0
IBM,2012-04-18,Morning Report  April 18  2012,Keagan York,0.0,1.0,0.0,0.0
IBM,2012-04-18,Stock Prices Rebound,John Nyaradi,0.0,1.0,0.0,0.0
IBM,2012-04-18,Asian Market Update  April 18  2012,Trade The News,0.0,1.0,0.0,0.0
IBM,2012-04-18,04 17 12   Bounce,ETF Prophet,0.0,1.0,0.0,0.0
IBM,2012-04-19,U S  Stocks Slide As Tech Earnings Fail To Inspire,Midnight Trader,0.265,0.455,0.28,0.0516
IBM,2012-04-19,Stocks On Shaky Ground Following Earnings  April 19  2012,Nicholas Santiago,0.192,0.808,0.0,-0.2263
IBM,2012-04-20,IMF Seeks To Bolster The Firewall Fund  April 20  2012,Jeremy Cook,0.0,1.0,0.0,0.0
IBM,2012-04-20,Best And Worst ETFs  And Mutual Funds   Technology Sector,David Trainer,0.268,0.458,0.275,0.0258
IBM,2012-04-20,Spanish Debt Fears Grow  As Yields Cross 6 ,Binary Options Strategy,0.515,0.485,0.0,-0.6486
IBM,2012-04-23,European And US Stocks Soar  April 23  2012,Binary Options Strategy,0.0,1.0,0.0,0.0
IBM,2012-04-24,Stocks Drop As Spanish Debt Fears Return  April 24  2012,Binary Options Strategy,0.514,0.486,0.0,-0.7506
IBM,2012-04-24,IBM Hits Daily Support Level,Nicholas Santiago,0.0,0.597,0.403,0.4019
IBM,2012-04-27,Spanish Debt Fears Grow  As Yields Cross 6   April 27  2012,Binary Options Strategy,0.398,0.602,0.0,-0.6486
IBM,2012-04-27,IBM Master Swing Short Level,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2012-04-30,Spanish Debt Fears Grow  As Yields Cross 6   April 30  2012,Binary Options Strategy,0.398,0.602,0.0,-0.6486
IBM,2012-04-30,Stocks With Fastest Dividend Growth   April 2012,Dividend Yield,0.0,0.698,0.302,0.3818
IBM,2012-05-01,European And US Stocks Soar,Binary Options Strategy,0.0,1.0,0.0,0.0
IBM,2012-05-02,Stocks Drop As Spanish Debt Fears Return,Binary Options Strategy,0.649,0.351,0.0,-0.7506
IBM,2012-05-02,Market Spikes  Gives Great Shorting Opportunity ,Nicholas Santiago,0.0,0.367,0.633,0.7845
IBM,2012-05-04,Western Markets Tumble As Data Disappoints  May 04  2012,Binary Options Strategy,0.245,0.755,0.0,-0.3818
IBM,2012-05-07,European Political Uncertainty Sends Stocks Sharply Lower,Binary Options Strategy,0.479,0.521,0.0,-0.5574
IBM,2012-05-07,Spanish Debt Fears Grow  As Yields Cross 6 ,Binary Options Strategy,0.515,0.485,0.0,-0.6486
IBM,2012-05-08,European And US Stocks Soar,Binary Options Strategy,0.0,1.0,0.0,0.0
IBM,2012-05-09,Using Call Options To Bottom Fish In QQQ,Rick Ackerman,0.0,1.0,0.0,0.0
IBM,2012-05-09,Stocks Drop As Spanish Debt Fears Return,Binary Options Strategy,0.649,0.351,0.0,-0.7506
IBM,2012-05-10,What Next For Hewlett Packard ,Jim Makos,0.0,1.0,0.0,0.0
IBM,2012-05-10,US Weekly Jobless Claims Continue To Drop,Binary Options Strategy,0.259,0.741,0.0,-0.2732
IBM,2012-05-11,Western Markets Tumble As Data Disappoints,Binary Options Strategy,0.342,0.658,0.0,-0.3818
IBM,2012-05-11,Looks Like Apple VIX  VXAPL  Futures Are Coming Soon,Bill Luby,0.0,0.762,0.238,0.3612
IBM,2012-05-14,Spanish Debt Fears Grow  As Yields Cross 6 ,Binary Options Strategy,0.515,0.485,0.0,-0.6486
IBM,2012-05-30,Dell Vs  HP  Which Stock Should You Own ,StreetAuthority,0.0,1.0,0.0,0.0
IBM,2012-05-31,Revealed  Master Long Level On IBM ,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2012-06-03,Sell In May Would Have Been A Good Idea,Cumberland Advisors,0.0,0.707,0.293,0.4404
IBM,2012-06-07,NetApp  Earnings Drop Turns Into Takeover Opportunity,Ophir Gottlieb,0.212,0.505,0.283,0.1779
IBM,2012-06-12,China  3 Of The Top 10 Most Valuable Global Companies Now Based Here,Stocks on Wall Street,0.0,0.658,0.342,0.6361
IBM,2012-06-12,German Sovereign CDS Widening Is A Troubling Sign ,Sober Look,0.368,0.632,0.0,-0.5423
IBM,2012-06-14,The US Economy Sitting On The Threshold Of A New Golden Age  Part Two ,Chuck Carnevale,0.0,1.0,0.0,0.0
IBM,2012-06-19,Join US As We Short Every Stupid Rally,Rick Ackerman,0.293,0.517,0.19,-0.296
IBM,2012-07-01,ServiceNow  Cloud Based Service IPO ,Francis Gaskins,0.0,1.0,0.0,0.0
IBM,2012-07-03,100 Dividend Stocks That Big Investment Gurus Bought Over The Past Half ,Dividend Yield,0.0,1.0,0.0,0.0
IBM,2012-07-12,IBM  Ready To Hit The Skids ,Rick Ackerman,0.0,0.667,0.333,0.3612
IBM,2012-07-12,Stocks On The Rocks ,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2012-07-12,TLT VIXEN Soars,ETF Prophet,0.0,1.0,0.0,0.0
IBM,2012-07-16,Q A With Jim Rogers And Greyson Colvin,T. Marc Schober,0.0,1.0,0.0,0.0
IBM,2012-07-18,Asia stocks rise on U S  housing data  U S  earnings  Nikkei up 0 86 ,Investing.com,0.224,0.776,0.0,-0.3818
IBM,2012-07-19,U S  stocks higher on strong earnings  eBay soars  Dow up 0 2 ,Investing.com,0.0,0.708,0.292,0.5106
IBM,2012-07-19,Wall Street closes higher on earnings  despite weak data  Dow up 0 27 ,Investing.com,0.0,0.821,0.179,0.3412
IBM,2012-07-19,European stocks higher on earnings optimism  DAX up 0 6 ,Investing.com,0.0,0.667,0.333,0.5423
IBM,2012-07-19,Asia stocks boosted by strong U S  tech earnings  Nikkei climbs 0 8 ,Investing.com,0.0,0.547,0.453,0.7003
IBM,2012-07-19,Market Neutral Conundrum,ETF Prophet,0.0,1.0,0.0,0.0
IBM,2012-07-19,U S  futures higher ahead of data  earnings  Dow gains 0 45 ,Investing.com,0.0,0.769,0.231,0.34
IBM,2012-07-19,AUD Rallies On Central Banks  Plans To Buy,Trade The News,0.0,1.0,0.0,0.0
IBM,2012-07-20,Forget Libor gate  Oil Market Manipulation Is Far Worse ,EconMatters,0.545,0.455,0.0,-0.7351
IBM,2012-07-20,Stocks Close Higher As Investors Take Solace In Corporate Earnings,Midnight Trader,0.0,1.0,0.0,0.0
IBM,2012-07-20,IBM Earnings Review  Performance Rebounds  Guidance Raised,David Dyer,0.0,1.0,0.0,0.0
IBM,2012-07-21,Economic Fundamentals Mirror America s Frail Recovery,Aviv N. Shapiro,0.0,1.0,0.0,0.0
IBM,2012-07-25,4 Steps To Identify Institutional Gaps ,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2012-08-09,Using Volatility To Trade IBM Using Options,J.W. Jones,0.0,1.0,0.0,0.0
IBM,2012-08-10,Wall Street opens sharply lower on bearish data  Dow off 0 51 ,Investing.com,0.18,0.82,0.0,-0.296
IBM,2012-08-10,U S  futures dip after data  growth worries weigh  Dow Jones down 0 36 ,Investing.com,0.194,0.625,0.181,-0.0516
IBM,2012-08-13,Top Trades For The Week,Gregory W. Harmon,0.0,0.69,0.31,0.2023
IBM,2012-08-15,India s OMDC To Hike Iron Ore  Manganese Output,MetalMiner,0.0,1.0,0.0,0.0
IBM,2012-08-15,Complex Head And Shoulders In IBM Should Knock Shares Down,Abigail Doolittle,0.0,0.804,0.196,0.296
IBM,2012-09-05,Is IBM Priced To Move ,F.A.S.T. Graphs,0.0,1.0,0.0,0.0
IBM,2012-10-03,December E Mini S P  Getting Past Monday s Peak ,Rick Ackerman,0.0,1.0,0.0,0.0
IBM,2012-10-18,U S  Stocks Edge Higher As Traders Digest Housing Data  Corporate Earnin,Midnight Trader,0.0,1.0,0.0,0.0
IBM,2012-10-23,Tuesday Uncertain  Bias Higher ,The Night Owl Trader,0.643,0.357,0.0,-0.3818
IBM,2012-10-23,These Stocks And Markets May Bounce Now,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2012-11-27,AUD USD  US Economic Outlook Continues to Ameliorate,Aviv N. Shapiro,0.0,1.0,0.0,0.0
IBM,2013-01-22,AUD USD  Greenback To Stand Clear Of Aussie Hike,Aviv N. Shapiro,0.0,0.755,0.245,0.3818
IBM,2013-01-23,IBM  Fifth Time s The Charm For Big Blue ,Rick Ackerman,0.0,0.722,0.278,0.4019
IBM,2013-01-23,UK PM Cameron Proposes Referendum On UK Remaining In EU By 2017,Trade The News,0.0,1.0,0.0,0.0
IBM,2013-01-23,Signs That A Correction May Be Near In The SPX  RUT And DJIA,Chris Vermeulen,0.0,1.0,0.0,0.0
IBM,2013-02-06,Is IBM Pointing To Wider Market Problems  ,Nicholas Santiago,0.31,0.69,0.0,-0.4019
IBM,2013-02-07,What s IBM Saying To The Tech Play ,Nicholas Santiago,0.0,0.714,0.286,0.34
IBM,2013-02-14,IBM  Stock Undervalued,F.A.S.T. Graphs,0.0,1.0,0.0,0.0
IBM,2013-02-14,Why HFTs Are Not A Problem ,Eric Falkenstein,0.0,0.639,0.361,0.3089
IBM,2013-02-19,VIX Quotes On Google Finance,Vance Harwood,0.0,1.0,0.0,0.0
IBM,2013-03-15,This Crab Wants To Run,Gregory W. Harmon,0.0,1.0,0.0,0.0
IBM,2013-03-15,IBM  Blow Off Top  ,Nicholas Santiago,0.0,0.625,0.375,0.2023
IBM,2013-03-28,U S  stocks gain on GDP data  Dow ends up 0 36 ,Investing.com,0.0,0.702,0.298,0.5267
IBM,2013-04-02,Shorting The IBM Gap,Tim Knight,0.0,1.0,0.0,0.0
IBM,2013-04-04,You Don t Have To Own The Index  Sector Allocation,Baskin Financial Blog,0.0,1.0,0.0,0.0
IBM,2013-04-19,Downbeat Earnings Reports Cause Decline,John Nyaradi,0.0,1.0,0.0,0.0
IBM,2013-04-19,Will IBM s Earnings Hit The Dow ,Chris Kimble,0.0,1.0,0.0,0.0
IBM,2013-04-23,Can Apple Save Technology ETFs ,Gary Gordon,0.0,0.556,0.444,0.4939
IBM,2013-04-25,U S stocks rise on falling jobless claims  Dow gains 0 17 ,Investing.com,0.145,0.636,0.218,0.2023
IBM,2013-05-02,IBM  Grab A Fast Double Digit Yield From This Dow Dividend Stock,Double Dividend Stocks,0.0,1.0,0.0,0.0
IBM,2013-05-06,Top Five Reasons You Know Another Bubble Is Forming,Nicholas Santiago,0.0,0.816,0.184,0.2023
IBM,2013-05-08,Rockwell Trading CEO Heitkoetter  A Simple  Timeless Trading Strategy ,Nick Mastrandrea,0.0,1.0,0.0,0.0
IBM,2013-05-16,IBM Rides The Bubble,Nicholas Santiago,0.0,1.0,0.0,0.0
IBM,2013-05-24,IBM Corp   Heading Down ,Rick Ackerman,0.0,1.0,0.0,0.0
IBM,2013-06-10,International Business Machines  Next Portfolio Stock Purchase ,Dividend Yield,0.0,1.0,0.0,0.0
IBM,2013-06-14,Investors  Winning In Gamification Initiatives,Jennifer Lynn,0.0,0.541,0.459,0.5267
IBM,2013-06-17,Buying Emerging Markets From Home,Simon Lack,0.0,1.0,0.0,0.0
IBM,2013-07-12,Best   Worst ETFs   Mutual Funds  Information Technology Sector,David Trainer,0.287,0.42,0.294,0.0258
IBM,2013-07-15,U S stocks shrug retail data and gain on Citi earnings  Dow up 0 13 ,Investing.com,0.0,0.764,0.236,0.5267
IBM,2013-07-17,IBM Earnings,Tim Knight,0.0,1.0,0.0,0.0
IBM,2013-07-18,Oil Slips On Stronger Dollar After Bernanke Speech  Inventories Fall,ICN.com,0.0,0.776,0.224,0.3818
IBM,2013-07-19,S P 500  Biggest Bubble In 30 Years,Phoenix Capital Research,0.0,1.0,0.0,0.0
IBM,2013-07-19,Oil Near Highest In 16 Months On Demand Growth Hopes,ICN.com,0.108,0.504,0.388,0.5994
IBM,2013-07-21,Detroit And The Discipline Of Municipal Bonds,David Kotok,0.0,1.0,0.0,0.0
IBM,2013-07-22,Stocks Are Setting Up For An Epic Collapse,Phoenix Capital Research,0.314,0.686,0.0,-0.4939
IBM,2013-07-23,Keep Your Eye On This Lesser Known Index,Mitchell Clark,0.0,1.0,0.0,0.0
IBM,2013-08-06,U S  stocks fall on Federal Reserve comments  Dow falls 0 60 ,Investing.com,0.0,1.0,0.0,0.0
IBM,2013-08-07,Dow Closes Lower After Fed Indicates Tapering Of Asset Purchases ,James Chen,0.173,0.63,0.197,0.0772
IBM,2013-08-07,Wall Street Dips,LiteForex Europe,0.0,1.0,0.0,0.0
IBM,2013-08-07,Big Blue Breaks Badly,Tim Knight,0.508,0.492,0.0,-0.4767
IBM,2013-08-12,I Doubled The IBM Stock Position In My Portfolio ,Dividend Yield,0.0,1.0,0.0,0.0
IBM,2013-08-14,Ben Graham Did Not Give Up On Value Investing  In Theory,David Merkel,0.0,0.806,0.194,0.34
IBM,2013-08-15,What s Behind The Surge In The Cloud Computing ETF,Zacks Investment Research,0.0,1.0,0.0,0.0
IBM,2013-08-16,Berkshire Hathaway s 2Q Portfolio Changes  Right Strategy Going Forward,David Kass,0.0,1.0,0.0,0.0
IBM,2013-08-25,Buy This Blue Chip Dividend Stock 9  Below Its 52 Week Low,Double Dividend Stocks,0.174,0.826,0.0,-0.2732
IBM,2013-09-04,U S  stocks gain on upbeat Federal Reserve Beige Book  Dow up 0 65 ,Investing.com,0.0,0.746,0.254,0.5267
IBM,2013-09-06,U S  stocks end flat on Syria concerns  soft jobs report  Dow down 0 10 ,Investing.com,0.0,1.0,0.0,0.0
IBM,2013-09-11,Dow Posts Another Win,Midnight Trader,0.0,0.441,0.559,0.5859
IBM,2013-09-11,U S  stocks rise as market sees Fed staying loose  Dow up 0 89 ,Investing.com,0.187,0.813,0.0,-0.3182
IBM,2013-09-12,Monitise Capitalising On The Mobile Money Opportunity ,Edison,0.0,0.682,0.318,0.4215
IBM,2013-09-12,Looking Ahead  The Q3 Earnings Season,Zacks Investment Research,0.0,1.0,0.0,0.0
IBM,2013-09-13,Can The Stock Market Maintain Its High ,Michael Lombardi,0.0,1.0,0.0,0.0
IBM,2013-09-17,U S  stocks gain as market bets on light stimulus taper  Dow up 0 23 ,Investing.com,0.0,0.764,0.236,0.5267
IBM,2013-09-20,Converting Reported Assets Into Invested Capital ,David Trainer,0.0,0.746,0.254,0.1779
IBM,2013-09-20,Dividend Contenders With Over 20  Return on Equity ,Dividend Yield,0.0,1.0,0.0,0.0
IBM,2013-09-25,IBM  Road Map To Reasonable Valuation ,F.A.S.T. Graphs,0.0,1.0,0.0,0.0
IBM,2013-09-26,Obamacare   An Unintended Consequence    ,Bruce Krasting,0.0,1.0,0.0,0.0
IBM,2013-10-08,U S  stocks open lower as budget impasse weighs  Dow Jones down 0 29 ,Investing.com,0.18,0.82,0.0,-0.296
IBM,2013-10-08,U S  futures steady amid budget jitters  Dow Jones up 0 05  ,Investing.com,0.0,1.0,0.0,0.0
IBM,2013-10-09,U S  stocks gain on Yellen nomination  shutdown weighs  Dow rises 0 18 ,Investing.com,0.0,0.726,0.274,0.5267
IBM,2013-10-09,Wave Of The Future Investment From The Ground Up,The Gold Report,0.0,1.0,0.0,0.0
IBM,2013-10-10,U S  futures climb on budget hopes  Dow Jones up 0 88  ,Investing.com,0.0,0.741,0.259,0.4215
IBM,2013-10-10,U S  stocks open sharply higher on budget hopes  Dow Jones up 1 02 ,Investing.com,0.0,0.781,0.219,0.4215
IBM,2013-10-14,The Twitter Split Between Weak And Strong Continues,Blair Jensen,0.238,0.492,0.27,0.1027
IBM,2013-10-17,IBM  At A Bearish Turning Point,Ryan Mallory,0.0,1.0,0.0,0.0
IBM,2013-10-17,From Panic To Exuberance In Under A Week,Kevin Davitt,0.355,0.645,0.0,-0.5106
IBM,2013-10-17,Stock Market Outlook  October 17  2013,Tech Talk,0.0,1.0,0.0,0.0
IBM,2013-10-17,U S  stocks up on D C  deal  talk of Fed staying loose  Dow slips 0 01 ,Investing.com,0.173,0.827,0.0,-0.3182
IBM,2013-10-17,S P 500 Soars As Dow Fizzles,Midnight Trader,0.0,1.0,0.0,0.0
IBM,2013-10-20,Why I Remain Pessimistic On This Stock Market,Michael Lombardi,0.294,0.706,0.0,-0.3612
IBM,2013-10-21,IBM Position Increase For The Dividend Yield Passive Income Portfolio,Dividend Yield,0.0,0.661,0.339,0.4767
IBM,2013-10-21,Tangoe  In The Danger Zone,David Trainer,0.459,0.541,0.0,-0.5267
IBM,2013-10-23,U S  stocks end lower on profit taking  mixed earnings  Dow dips 0 35 ,Investing.com,0.156,0.638,0.206,0.1779
IBM,2013-10-29,STTG Market Recap  October 29  2013,StockTradingToGo,0.0,1.0,0.0,0.0
IBM,2013-10-30,US House Prices Have Recorded The Largest Year On Year Rise Since  06,Keagan York,0.0,1.0,0.0,0.0
IBM,2013-11-03,How To Find The Best Sector ETFs,David Trainer,0.0,0.588,0.412,0.6369
