date,steve jobs,aapl,iphone,ipad,macbook,score
2018-05-16,0.8333333333333334,38.708333333333336,76.91666666666667,12.25,7.25,27.19166666666667
2018-05-17,0.625,39.041666666666664,76.91666666666667,12.041666666666666,6.916666666666667,27.10833333333333
2018-05-18,0.7916666666666666,38.166666666666664,76.875,12.333333333333334,6.75,26.98333333333333
2018-05-19,0.75,38.75,82.16666666666667,13.0,6.666666666666667,28.26666666666667
2018-05-20,0.84,42.76,91.32,14.84,7.48,31.447999999999997
2018-05-21,0.9583333333333334,41.958333333333336,84.91666666666667,13.583333333333334,7.541666666666667,29.791666666666668
2018-05-22,0.875,41.666666666666664,82.95833333333333,13.666666666666666,7.625,29.35833333333333
2018-05-23,0.7916666666666666,41.041666666666664,82.79166666666667,13.083333333333334,7.875,29.116666666666667
2018-05-24,0.7916666666666666,40.625,82.29166666666667,12.958333333333334,7.833333333333333,28.900000000000006
2018-05-25,0.7916666666666666,41.958333333333336,83.79166666666667,13.416666666666666,7.125,29.416666666666668
2018-05-26,0.5833333333333334,42.083333333333336,89.29166666666667,14.083333333333334,7.166666666666667,30.64166666666667
2018-05-27,0.72,41.2,89.8,14.48,7.36,30.712
2018-05-28,0.5,40.416666666666664,83.33333333333333,13.125,7.291666666666667,28.93333333333333
2018-05-29,0.75,39.708333333333336,81.625,12.791666666666666,7.583333333333333,28.491666666666667
2018-05-30,0.625,40.416666666666664,80.75,12.666666666666666,7.541666666666667,28.399999999999995
2018-05-31,0.7916666666666666,40.25,81.58333333333333,12.5,7.625,28.55
2018-06-01,0.7083333333333334,40.875,81.91666666666667,12.916666666666666,7.333333333333333,28.75
2018-06-02,0.75,42.583333333333336,91.54166666666667,14.5,7.416666666666667,31.35833333333333
2018-06-03,0.68,42.88,90.72,14.56,7.72,31.312
2018-06-04,0.8333333333333334,52.083333333333336,83.08333333333333,13.041666666666666,8.416666666666666,31.491666666666664
2018-06-05,0.875,48.916666666666664,83.45833333333333,12.875,8.375,30.9
2018-06-06,0.9583333333333334,42.875,81.16666666666667,12.875,7.583333333333333,29.09166666666667
2018-06-07,1.0416666666666667,40.833333333333336,79.0,12.75,7.708333333333333,28.26666666666667
2018-06-08,0.875,41.125,81.20833333333333,12.541666666666666,7.416666666666667,28.633333333333333
2018-06-09,1.0,41.791666666666664,88.70833333333333,14.041666666666666,7.125,30.53333333333333
2018-06-10,0.96,43.0,91.24,14.44,7.52,31.432
2018-06-11,0.8333333333333334,41.75,82.75,12.833333333333334,7.541666666666667,29.14166666666667
2018-06-12,0.8333333333333334,40.958333333333336,81.29166666666667,12.916666666666666,7.625,28.725
