date,ibm,score
2017-05-10,0.66,0.66
2017-05-11,0.66875,0.66875
2017-05-12,0.6433333333333333,0.6433333333333333
2017-05-13,0.3175,0.3175
2017-05-14,0.2664,0.2664
2017-05-15,0.5479166666666666,0.5479166666666666
2017-05-16,0.6529166666666667,0.6529166666666667
2017-05-17,0.6245833333333334,0.6245833333333334
2017-05-18,0.66125,0.66125
2017-05-19,0.5933333333333334,0.5933333333333334
2017-05-20,0.29583333333333334,0.29583333333333334
2017-05-21,0.28,0.28
2017-05-22,0.6333333333333333,0.6333333333333333
2017-05-23,0.6475,0.6475
2017-05-24,0.6483333333333333,0.6483333333333333
2017-05-25,0.5845833333333333,0.5845833333333333
2017-05-26,0.5433333333333333,0.5433333333333333
2017-05-27,0.295,0.295
2017-05-28,0.2444,0.2444
